"product_id","product_name","description","revenue","cogs","profit_margin","low_margin_flag"
21,"Corsair Dominator Platinum","Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","48749.35","39642.85","18.6802","Not Low"
124,"Intel Xeon E5-1650 V4 (OEM/Tray)","Speed:3.6GHz,Cores:6,TDP:140W","69613.83","53017.38","23.8407","Not Low"
201,"Kingston","Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x8GBSize:32GB","79727.00","69171.56","13.2395","Low"
137,"Asus Z10PE-D16 WS","CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB","35249.25","24939.00","29.2496","Not Low"
246,"Gigabyte X299 AORUS Ultra Gaming","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","45750.67","38274.74","16.3406","Not Low"
100,"Crucial CT275MX300SSD1","Series:MX300,Type:SSD,Capacity:275GB,Cache:N/A","29364.00","23763.00","19.0744","Not Low"
76,"Intel Xeon E5-2630 V3","Speed:2.4GHz,Cores:8,TDP:85W","107728.29","85493.16","20.6400","Not Low"
48,"AMD FirePro S7000","Chipset:FirePro S7000,Memory:4GBCore Clock:950MHz","187649.00","144208.68","23.1498","Not Low"
7,"G.Skill Ripjaws V Series","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","245837.39","217466.40","11.5406","Low"
125,"G.Skill Trident Z","Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB","56136.27","43364.92","22.7506","Not Low"
237,"Gigabyte GV-N108TAORUS-11GD","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.59GHz","37249.00","30265.00","18.7495","Not Low"
271,"MSI X99A GODLIKE GAMING CARBON","CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB","119261.03","90055.00","24.4892","Not Low"
287,"MSI X99A XPOWER GAMING TITANIUM","CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB","130016.06","101348.62","22.0492","Not Low"
98,"Intel Xeon E5-2687W V3","Speed:3.1GHz,Cores:10,TDP:160W","307683.51","265439.03","13.7298","Low"
260,"Crucial CT1050MX300SSD1","Series:MX300,Type:SSD,Capacity:1.1TB,Cache:N/A","19027.29","13668.92","28.1615","Not Low"
245,"ATI FirePro S9050","Chipset:FirePro S9050,Memory:12GBCore Clock:900MHz","438342.00","319156.32","27.1901","Not Low"
94,"Western Digital WD2500AVVS","Series:AV-GP,Type:5400RPM,Capacity:250GB,Cache:8MB","1399.50","1136.70","18.7781","Not Low"
16,"Intel Core i7-6900K","Speed:3.2GHz,Cores:8,TDP:140W","120135.15","107040.15","10.9002","Low"
54,"Intel Xeon E5-1660 V3 (OEM/Tray)","Speed:3.0GHz,Cores:8,TDP:140W","47939.53","42982.44","10.3403","Low"
145,"Asus VANGUARD B85","CPU:LGA1150,Form Factor:Micro ATX,RAM Slots:4,Max RAM:32GB","16646.00","14969.80","10.0697","Low"
192,"Asus Rampage V Edition 10","CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB","83718.39","72852.50","12.9791","Low"
49,"Samsung MZ-75E4T0B","Series:850 EVO,Type:SSD,Capacity:4TB,Cache:4GB","124499.17","95752.12","23.0902","Not Low"
152,"Gigabyte X299 AORUS Gaming 3","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","50014.44","40491.44","19.0405","Not Low"
47,"Intel Xeon E5-2697 V2","Speed:2.7GHz,Cores:12,TDP:130W","449270.01","397200.51","11.5898","Low"
30,"G.Skill Ripjaws V Series","Speed:DDR4-2800,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB","215496.80","151148.36","29.8605","Not Low"
71,"Intel Core i7-3930K","Speed:3.2GHz,Cores:6,TDP:130W","146520.00","113069.04","22.8303","Not Low"
265,"G.Skill Trident Z","Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB","378045.36","307161.36","18.7501","Not Low"
63,"Asus RAMPAGE V EXTREME","CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:64GB","164439.52","131733.00","19.8897","Not Low"
159,"Intel Xeon E5-2690 V4","Speed:2.6GHz,Cores:14,TDP:135W","191471.04","143928.96","24.8299","Not Low"
231,"Samsung MZ-V6E1T0","Series:960 EVO,Type:SSD,Capacity:1TB,Cache:1000MB","39149.13","31151.22","20.4293","Not Low"
85,"Intel Xeon E5-2660 V3 (OEM/Tray)","Speed:2.6GHz,Cores:10,TDP:105W","293247.70","207501.40","29.2402","Not Low"
91,"Intel Xeon E5-2695 V2","Speed:2.4GHz,Cores:12,TDP:115W","707376.87","561374.89","20.6399","Not Low"
2,"Intel Xeon E5-2697 V4","Speed:2.3GHz,Cores:18,TDP:145W","419018.36","351681.60","16.0701","Not Low"
186,"PNY VCQK5200-PB","Chipset:Quadro K5200,Memory:8GBCore Clock:667MHz","674240.70","525166.35","22.1100","Not Low"
167,"Intel Xeon E5-2650L V3 (OEM/Tray)","Speed:1.8GHz,Cores:12,TDP:65W","136412.10","105187.95","22.8896","Not Low"
233,"SanDisk SDSSDA-120G-G26","Series:SSD PLUS,Type:SSD,Capacity:120GB,Cache:N/A","9418.43","8273.90","12.1520","Low"
